,FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
10,527920.txt,https://www.code7700.com,23,www.code7700.com,16,0,com,100.0,1.0,0.5229071,0.047469237,3,1,0,0,0.0,6,0.261,4,0.174,0,0,0,1,0.043,1,853,4232,1,de7700,75.0,75.0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,8,7,30,9,6,7,1
11,77602.txt,https://www.schoolpay.com,24,www.schoolpay.com,17,0,com,100.0,1.0,0.5229071,0.063198232,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,450,1157,1,schoolpay,100.0,100.0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,12,2,7,11,0,14,1
12,8004537.txt,http://accedimanualmente.com/,28,accedimanualmente.com,21,0,com,61.32756133,1.0,0.5229071,0.067878809,3,0,0,0,0.0,20,0.714,0,0.0,0,0,0,1,0.036,0,15,155,1,accedimanualmente,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,229050.txt,https://www.e-mj.com,19,www.e-mj.com,12,0,com,100.0,0.75,0.5229071,0.066430659,3,1,0,0,0.0,5,0.263,0,0.0,0,0,0,2,0.105,1,849,10436,1,e-mj,100.0,100.0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,37,9,19,121,6,101,1
14,406128.txt,https://www.gaslampgames.com,27,www.gaslampgames.com,20,0,com,100.0,1.0,0.5229071,0.062023198,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,231,4647,1,gaslampgames,100.0,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12,4,11,39,0,49,1
15,mw22335.txt,http://www.britishproxy.com,26,www.britishproxy.com,20,0,com,76.37867647,1.0,0.5229071,0.051990211,3,1,0,0,0.0,14,0.538,0,0.0,0,0,0,1,0.038,0,8,42,1,britishproxy,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,722698.txt,https://www.lexblog.com,22,www.lexblog.com,15,0,com,100.0,1.0,0.5229071,0.056401674,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,3935,27019,1,lexblog,100.0,100.0,0,1,1,0,0,1,0,2,0,1,1,1,0,1,0,1,1,20,4,15,60,0,64,1
17,781879.txt,https://www.bravenewgamer.com,28,www.bravenewgamer.com,21,0,com,100.0,1.0,0.5229071,0.061548929,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,406,1284,1,bravenewgamer,100.0,100.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,23,5,8,88,0,89,1
18,887455.txt,https://www.orillia.com,22,www.orillia.com,15,0,com,100.0,1.0,0.5229071,0.070391073,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,1184,407,1,orillia,100.0,100.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,1,8,43,4,14,1
19,66981.txt,https://www.channel103.com,25,www.channel103.com,18,0,com,100.0,1.0,0.5229071,0.05049498,3,1,0,0,0.0,9,0.36,3,0.12,0,0,0,1,0.04,1,746,1739,1,channel103,100.0,100.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,37,4,12,77,0,22,1
