,FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
27,543073.txt,https://www.birdilimlezzet.com,29,www.birdilimlezzet.com,22,0,com,100.0,1.0,0.5229071,0.054470799,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,1821,9458,1,birdilimlezzet,100.0,100.0,0,1,1,0,0,1,1,2,0,1,1,0,0,0,1,0,1,60,8,17,204,12,219,1
28,mw210231.txt,http://www.voip96.ru,20,www.voip96.ru,13,0,ru,68.64197531,1.0,0.0180132,0.037117257,2,1,0,0,0.0,6,0.3,2,0.1,0,0,0,1,0.05,0,2,29,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,mw65785.txt,http://www.iuhjn.pplink.club,27,www.iuhjn.pplink.club,21,0,club,47.36639754,0.583333333,0.0006227,0.039958523,4,2,0,0,0.0,14,0.519,0,0.0,0,0,0,2,0.074,0,8,41,1,iuhjnpplink,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,825737.txt,https://www.purotip.com,22,www.purotip.com,15,0,com,100.0,1.0,0.5229071,0.059979505,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,3279,6967,1,purotip,100.0,100.0,1,0,0,1,0,0,2,9,0,1,1,0,0,0,0,0,1,35,13,8,88,1,115,1
31,44230.txt,https://www.regioner.dk,22,www.regioner.dk,15,0,dk,100.0,1.0,0.0022943,0.064991468,2,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,2003,635,1,regioner,100.0,100.0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,10,2,11,217,0,39,1
32,8106402.txt,https://lezpsforqkdczwpk-dot-hf-doorads-roompop.ue.r.appspot.com/#redacted@abuse.ionos.com,90,lezpsforqkdczwpk-dot-hf-doorads-roompop.ue.r.appspot.com,56,0,com,14.81547845,0.326923077,0.5229071,0.057199073,3,3,0,0,0.0,69,0.767,0,0.0,0,0,0,13,0.144,1,12,98,1,lezpsforqkdczwpk-dot-hf-doorads-roompopuerappspot#redacted@abuseionos,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,mw69040.txt,http://www.washingtonwarrior.com,31,www.washingtonwarrior.com,25,0,com,80.85714286,1.0,0.5229071,0.060818157,3,1,0,0,0.0,19,0.613,0,0.0,0,0,0,1,0.032,0,2,879,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
34,oph08898.txt,https://www.authologin1.tvsmbg26eot9pyq7mheg.naphoragiturest.com.co/citxmxsa1ais4jmtgo01lqh47snid9,98,www.authologin1.tvsmbg26eot9pyq7mheg.naphoragiturest.com.co,59,0,co,11.86288954,0.346153846,0.0059772,0.046200948,2,4,0,0,0.0,69,0.704,12,0.122,0,0,0,5,0.051,1,15,155,1,authologin1tvsmbg26eot9pyq7mhegnaphoragiturestmcitxmxsa1ais4jmtgo01lqh47snid9,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,449049.txt,https://www.et-gw.eu,19,www.et-gw.eu,12,0,eu,100.0,0.6,0.0056158,0.054655036,2,1,0,0,0.0,5,0.263,0,0.0,0,0,0,2,0.105,1,334,1552,1,t-gw,80.0,80.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,4,7,14,0,13,1
36,mw154151.txt,http://www.bio-age.ru,21,www.bio-age.ru,14,0,ru,79.63636364,0.571428571,0.0180132,0.060217797,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,2,0.095,0,27,85,0,0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,8103439.txt,https://docs.google.com/presentation/d/e/2pacx-1vrppjs3vgxstfqlx2cowu3h1mrs3wqdlrsvmpw02k0zhv-80ua8nff15n5zhdunjyvgivps9vsttgna/pub?start=false&loop=false&delayms=3000,167,docs.google.com,15,0,com,9.540761837,0.636363636,0.5229071,0.040120368,3,1,0,0,0.0,123,0.737,21,0.126,3,1,0,11,0.09,1,10,36560,1,docsgooglepresentationde2pacx-1vrppjs3vgxstfqlx2cowu3h1mrs3wqdlrsvmpw02k0zhv-80ua8nff15n5zhdunjyvgivps9vsttgnapub?start=false&loop=false&delayms=3000,0.0,0.0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,2,2,0,2,0
38,oph03988.txt,https://angelomagnoli.com/wp-admin/js/widgets/did/,49,angelomagnoli.com,17,0,com,35.13781479,1.0,0.5229071,0.054982834,3,0,0,0,0.0,35,0.714,0,0.0,0,0,0,6,0.122,1,219,199,1,angelomagnoliwp-adminjswidgetsdid,0.0,100.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,3,6,0,0,2,0
39,552593.txt,https://www.kanada-eta.de,24,www.kanada-eta.de,17,0,de,100.0,0.7,0.0326503,0.060452515,2,1,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,1042,11876,1,kanaa-eta,0.0,0.0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,16,3,4,45,1,54,1
40,650347.txt,https://www.globalmentorcoach.com,32,www.globalmentorcoach.com,25,0,com,100.0,1.0,0.5229071,0.067246706,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,883,1350,1,globalmentorach,0.0,0.0,0,0,1,0,0,1,0,3,0,1,0,1,0,0,1,0,1,15,16,13,41,1,1,1
41,66206.txt,https://www.melongaming.com,26,www.melongaming.com,19,0,com,100.0,1.0,0.5229071,0.065376786,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,676,182,1,melongaming,100.0,100.0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,30,0,1,39,0,29,1
42,mw22960.txt,http://www.studysurf.com,23,www.studysurf.com,17,0,com,78.10650888,1.0,0.5229071,0.0478002,3,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,2,86,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,825418.txt,https://www.gugeapps.net,23,www.gugeapps.net,16,0,net,100.0,1.0,0.0384199,0.051208372,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1393,1686,1,gugeapps,100.0,100.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,4,12,51,0,13,1
44,583320.txt,https://www.hsv.com.au,21,www.hsv.com.au,14,0,au,100.0,0.571428571,0.0100856,0.058403443,2,2,0,0,0.0,7,0.333,0,0.0,0,0,0,2,0.095,1,1752,753,1,hsvcom,0.0,0.0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,54,11,17,103,0,24,1
45,385295.txt,https://www.acousticinnovations.com,34,www.acousticinnovations.com,27,0,com,100.0,1.0,0.5229071,0.067511042,3,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,1,351,403,1,austicinnovations,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,17,4,7,2,0,36,1
46,8116612.txt,http://solanadex.art,20,solanadex.art,13,0,art,77.93744717,1.0,0.0002861,0.061960998,3,0,0,0,0.0,12,0.6,0,0.0,0,0,0,1,0.05,0,15,155,1,solanadex,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8077831.txt,https://89fg.short.gy/appcliente,32,89fg.short.gy,13,0,gy,21.70833333,0.8,2.36e-05,0.047020325,2,1,0,0,0.0,19,0.594,2,0.062,0,0,0,3,0.094,1,123,785,1,89fgshortappcliente,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0
48,8120221.txt,https://ipfs.litnet.work/ipfs/bafybeibq75tjvoalozne3gu6byo4hwjubakroplepyhcprur3tmbgpu2da,89,ipfs.litnet.work,16,0,work,11.343824,0.636363636,0.0002358,0.040659138,4,1,0,0,0.0,70,0.787,7,0.079,0,0,0,4,0.045,1,88,3332,1,ipfslitnetipfsbafybeibq75tjvoalozne3gu6byo4hwjubakroplepyhcprur3tmbgpu2da,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
49,8081410.txt,http://cz56057.tw1.ru/ag23/,27,cz56057.tw1.ru,14,0,ru,32.02216066,0.727272727,0.0180132,0.02234063,2,1,0,0,0.0,8,0.296,8,0.296,0,0,0,4,0.148,0,9,38,1,cz56057tw1ag23,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7969383.txt,http://metamaesk.com,19,metamaesk.com,13,0,com,77.59932375,1.0,0.5229071,0.069766131,3,0,0,0,0.0,11,0.579,0,0.0,0,0,0,1,0.053,0,335,19384,1,metamaesk,100.0,100.0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,1,7,3,14,0,1,15,0
51,492983.txt,https://www.laurieduncanart.com,30,www.laurieduncanart.com,23,0,com,100.0,1.0,0.5229071,0.0633278,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1375,3968,1,laurieduncanart,100.0,100.0,0,0,1,0,0,1,0,19,0,0,1,1,1,1,1,0,1,37,1,14,37,0,19,1
52,398621.txt,https://www.piptompkin.com,25,www.piptompkin.com,18,0,com,100.0,1.0,0.5229071,0.055779801,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,568,204,1,piptompkin,100.0,100.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,42,5,6,1,5,5,1
53,179554.txt,https://www.autospeed.com,24,www.autospeed.com,17,0,com,100.0,1.0,0.5229071,0.066895097,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,628,1147,1,autospeed,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,3,11,0,0,42,1
54,754351.txt,https://www.gabtoschi.com,24,www.gabtoschi.com,17,0,com,100.0,1.0,0.5229071,0.061888558,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,630,230,1,gabtoschi,100.0,100.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9,1,9,22,1,9,1
55,895536.txt,https://www.stclementofohrid.com,31,www.stclementofohrid.com,24,0,com,100.0,1.0,0.5229071,0.064105777,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,1068,9381,1,stclementofohrid,100.0,100.0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,28,30,42,51,8,71,1
56,mw156827.txt,http://www.waveservice.com,26,www.waveservice.com,19,0,com,82.0,1.0,0.5229071,0.06240188,3,1,0,0,0.0,14,0.538,0,0.0,0,0,0,1,0.038,0,11,85,1,waveservice,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,393954.txt,https://www.mlbair.com,21,www.mlbair.com,14,0,com,100.0,1.0,0.5229071,0.063688216,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,1301,37068,1,mlbair,100.0,100.0,0,1,1,0,0,0,0,2,0,1,1,1,0,0,0,0,1,62,10,69,124,1,156,1
58,704058.txt,https://www.homeliveart.com,26,www.homeliveart.com,19,0,com,100.0,1.0,0.5229071,0.065999144,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,941,9381,1,homeliveart,100.0,100.0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,32,15,31,49,2,46,1
59,602290.txt,https://www.crewelwork.com,25,www.crewelwork.com,18,0,com,100.0,1.0,0.5229071,0.061194016,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,16294,89739,1,crewelwork,100.0,100.0,1,0,1,1,0,1,0,22,0,0,1,1,1,1,1,0,1,276,20,77,125,4,41,1
60,560989.txt,https://www.spacecraftkits.com,29,www.spacecraftkits.com,22,0,com,100.0,1.0,0.5229071,0.060991189,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,311,1319,1,spacecraftkits,100.0,100.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,14,0,0,0,0,27,1
61,mw5681.txt,http://www.w15773.com,20,www.w15773.com,14,0,com,69.09090909,1.0,0.5229071,0.023951617,3,1,0,0,0.0,3,0.15,5,0.25,0,0,0,1,0.05,0,14,652,1,w15773,100.0,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
62,mw71888.txt,http://www.hireblkcreatives.com,30,www.hireblkcreatives.com,24,0,com,69.0952381,1.0,0.5229071,0.059779212,3,1,0,0,0.0,18,0.6,0,0.0,0,0,0,1,0.033,0,2,2826,1,hireblkcreatives,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
63,578194.txt,https://www.amagicmoment.com,27,www.amagicmoment.com,20,0,com,100.0,1.0,0.5229071,0.070879976,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,645,15858,1,amagicmoment,100.0,100.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,3,10,28,5,7,1
64,mw49020.txt,http://www.la-michna.com,23,www.la-michna.com,17,0,com,76.4158918,0.777777778,0.5229071,0.066035369,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,2,0.087,0,11,77,1,la-michna,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
65,240311.txt,https://www.thedumpradio.com,27,www.thedumpradio.com,20,0,com,100.0,1.0,0.5229071,0.059412027,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,285,1820,1,thedumpradio,100.0,100.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,10,23,0,24,1
66,610233.txt,https://www.ceclayton.com,24,www.ceclayton.com,17,0,com,100.0,1.0,0.5229071,0.069398289,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1215,1350,1,ceclayton,100.0,100.0,0,0,1,0,0,1,0,3,0,1,0,1,0,0,1,0,1,28,8,14,43,2,24,1
67,159808.txt,https://www.js-kit.com,21,www.js-kit.com,14,0,com,100.0,0.666666667,0.5229071,0.052973796,3,1,0,0,0.0,7,0.333,0,0.0,0,0,0,2,0.095,1,166,161,1,js-kit,100.0,100.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,13,2,3,30,0,1,1
68,42192.txt,https://www.catholicnews.com,27,www.catholicnews.com,20,0,com,100.0,1.0,0.5229071,0.064530033,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1674,9381,1,catholicnews,100.0,100.0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,35,25,23,114,1,129,1
69,72105.txt,https://www.wherevent.com,24,www.wherevent.com,17,0,com,100.0,1.0,0.5229071,0.060382728,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1137,255,1,wherevent,100.0,100.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,7,2,10,334,6,18,1
70,mw77807.txt,http://www.arabiansanglers.com,29,www.arabiansanglers.com,23,0,com,73.22936972,1.0,0.5229071,0.064624641,3,1,0,0,0.0,17,0.586,0,0.0,0,0,0,1,0.034,0,2,2826,1,arabiansanglers,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
71,850481.txt,https://www.normanjaymbe.com,27,www.normanjaymbe.com,20,0,com,100.0,1.0,0.5229071,0.06235124,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1572,3520,1,normanjaymbe,100.0,100.0,1,0,1,0,0,0,0,2,0,1,1,1,0,0,0,0,1,38,23,31,61,2,76,1
72,755717.txt,https://www.elolfato.com,23,www.elolfato.com,16,0,com,100.0,1.0,0.5229071,0.070660424,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,3466,2556,1,elolfato,100.0,100.0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,113,2,16,149,0,81,1
